start_date,end_date,asset_identifier,asset_name,iso3_country,location,type,capacity,capacity_factor,activity,CO2_emissions_factor,CH4_emissions_factor,N2O_emissions_factor,other_gas_emissions_factor,CO2_emissions_tonnes,CH4_emissions_tonnes,N2O_emissions_tonnes,other_gas_emissions,total_CO2e_20yrGWP,total_CO2e_100yrGWP,other1,other2,other3
2015-02-01,2015-02-28,,,CHL,"POLYGON ((-69.875 -52.875, -69.875 -52.625, -69.625 -52.625, -69.625 -52.875, -69.875 -52.875))",Savannas,0.74,1742.5,1.0,1640,2.5,0.17,,11.72700653472,0.015674006304000003,0.0014961551472000001,,13.408186201790402,12.572761665787196,,,
2015-02-01,2015-02-28,,,CHL,"POLYGON ((-72.875 -48.875, -72.875 -48.625, -72.625 -48.625, -72.625 -48.875, -72.875 -48.875))",Savannas,30.82,1742.5,6.0,1640,2.5,0.17,,488.4139748649601,0.6528011814720003,0.06231284004960001,,558.4328361340273,523.6385331615696,,,
2015-02-01,2015-02-28,,,CHL,"POLYGON ((-72.125 -44.125, -72.125 -43.875, -71.875 -43.875, -71.875 -44.125, -72.125 -44.125))",Savannas,7.92,1742.5,1.0,1640,2.5,0.17,,125.51066453376,0.16775422963200007,0.016012903737600004,,143.50383070024318,134.5625302608576,,,
2015-02-01,2015-02-28,,,CHL,"POLYGON ((-72.125 -43.875, -72.125 -43.625, -71.875 -43.625, -71.875 -43.875, -72.125 -43.875))",Savannas,401.12,1742.5,28.0,1640,2.5,0.17,,6356.671434063361,8.496158660352002,0.8109969630335999,,7267.961688192116,6815.116431595353,,,
2015-02-01,2015-02-28,,,ARG,"POLYGON ((-72.125 -43.125, -72.125 -42.875, -71.875 -42.875, -71.875 -43.125, -72.125 -43.125))",Savannas,8.7,1742.5,1.0,1640,2.5,0.17,,137.87156331359998,0.18427547952,0.017589932136,,157.63678372375196,147.81490066533595,,,
2015-02-01,2015-02-28,,,CHL,"POLYGON ((-73.875 -42.625, -73.875 -42.375, -73.625 -42.375, -73.625 -42.625, -73.875 -42.625))",Savannas,27.99,1742.5,7.0,1640,2.5,0.17,,443.56609852272004,0.592858697904,0.056591057527199985,,507.15558349745044,475.5562148991672,,,
2015-02-01,2015-02-28,,,CHL,"POLYGON ((-73.875 -42.375, -73.875 -42.125, -73.625 -42.125, -73.625 -42.375, -73.875 -42.375))",Savannas,141.23,1742.5,6.0,1640,2.5,0.17,,2238.11504445744,2.9914052842080014,0.2855432316744,,2558.970455782241,2399.5285541339545,,,
2015-02-01,2015-02-28,,,CHL,"POLYGON ((-73.625 -42.375, -73.625 -42.125, -73.375 -42.125, -73.375 -42.375, -73.625 -42.375))",Savannas,8.75,1742.5,2.0,1640,2.5,0.17,,138.66392862,0.185334534,0.017691023700000003,,158.5427422509,148.6644115887,,,
2015-02-01,2015-02-28,,,CHL,"POLYGON ((-73.875 -42.125, -73.875 -41.875, -73.625 -41.875, -73.625 -42.125, -73.875 -42.125))",Savannas,2.85,1742.5,1.0,1640,2.5,0.17,,45.1648224648,0.06036610536000001,0.005762219148,,51.63963604743601,48.422122631747996,,,
2015-02-01,2015-02-28,,,CHL,"POLYGON ((-73.875 -41.875, -73.875 -41.625, -73.625 -41.625, -73.625 -41.875, -73.875 -41.875))",Savannas,11.29,1742.5,3.0,1640,2.5,0.17,,178.91608618512,0.2391345015840001,0.022826475151200003,,204.56543543001843,191.81956649559123,,,
