start_date,end_date,asset_identifier,asset_name,iso3_country,location,type,capacity,capacity_factor,activity,CO2_emissions_factor,CH4_emissions_factor,N2O_emissions_factor,other_gas_emissions_factor,CO2_emissions_tonnes,CH4_emissions_tonnes,N2O_emissions_tonnes,other_gas_emissions,total_CO2e_20yrGWP,total_CO2e_100yrGWP,other1,other2,other3
2019-07-01,2019-07-31,,,CHL,"POLYGON ((-71.875 -36.625, -71.875 -36.375, -71.625 -36.375, -71.625 -36.625, -71.875 -36.625))",Scrubland,5.25,2328.5,1.0,1640,2.5,0.2,,141.15423609,0.222965379,0.01800874215,,164.17541147174998,152.29135677105,,,
2019-07-01,2019-07-31,,,CHL,"POLYGON ((-72.375 -36.125, -72.375 -35.875, -72.125 -35.875, -72.125 -36.125, -72.375 -36.125))",Scrubland,7.38,2328.5,2.0,1640,2.5,0.2,,198.42252616080003,0.31342561847999995,0.025315146107999998,,230.78372126886,214.078135803876,,,
2019-07-01,2019-07-31,,,CHL,"POLYGON ((-72.375 -35.875, -72.375 -35.625, -72.125 -35.625, -72.125 -35.875, -72.375 -35.875))",Scrubland,1.27,2328.5,1.0,1640,2.5,0.2,,34.145881873200004,0.05393638692000001,0.0043564004820000005,,39.71481382269,36.840004399854,,,
2019-07-01,2019-07-31,,,CHL,"POLYGON ((-71.125 -35.875, -71.125 -35.625, -70.875 -35.625, -70.875 -35.875, -71.125 -35.875))",Scrubland,2.12,2328.5,1.0,1640,2.5,0.2,,56.99942485920002,0.09003554352000002,0.0072721015920000015,,66.29559472764002,61.496700258024006,,,
2019-07-01,2019-07-31,,,CHL,"POLYGON ((-72.625 -35.625, -72.625 -35.375, -72.375 -35.375, -72.375 -35.625, -72.625 -35.625))",Scrubland,5.95,2328.5,1.0,1640,2.5,0.2,,159.97480090200003,0.25269409620000005,0.020409907770000003,,186.06546633465004,172.59687100719003,,,
2019-07-01,2019-07-31,,,CHL,"POLYGON ((-72.375 -35.625, -72.375 -35.375, -72.125 -35.375, -72.125 -35.625, -72.375 -35.625))",Scrubland,11.3,2328.5,4.0,1640,2.5,0.2,,303.8176891080001,0.4799064348000001,0.03876167358000001,,353.3680285011002,327.78901552626013,,,
2019-07-01,2019-07-31,,,CHL,"POLYGON ((-71.875 -35.625, -71.875 -35.375, -71.625 -35.375, -71.625 -35.625, -71.875 -35.625))",Scrubland,1.68,2328.5,1.0,1640,2.5,0.2,,45.16935554880001,0.07134892128000002,0.0057627974880000024,,52.536131670959996,48.73323416673601,,,
2019-07-01,2019-07-31,,,CHL,"POLYGON ((-72.375 -35.125, -72.375 -34.875, -72.125 -34.875, -72.125 -35.125, -72.375 -35.125))",Scrubland,3.12,2328.5,1.0,1640,2.5,0.2,,83.8859460192,0.13250513952,0.010702338192,,97.56710167464,90.50457773822399,,,
2019-07-01,2019-07-31,,,CHL,"POLYGON ((-72.125 -35.125, -72.125 -34.875, -71.875 -34.875, -71.875 -35.125, -72.125 -35.125))",Scrubland,3.23,2328.5,1.0,1640,2.5,0.2,,86.84346334680002,0.13717679508,0.011079664218,,101.00696743881001,93.695444261046,,,
2019-07-01,2019-07-31,,,CHL,"POLYGON ((-72.125 -34.875, -72.125 -34.625, -71.875 -34.625, -71.875 -34.875, -72.125 -34.875))",Scrubland,144.55,2328.5,11.0,1640,2.5,0.2,,3886.4466336779997,6.1389801018,0.49584070053,,4520.29632918885,4193.088689762911,,,
