longitude,latitude,CO2_emissions_tonnes,CH4_emissions_tonnes,N2O_emissions_tonnes,total_CO2e_20yrGWP,total_CO2e_100yrGWP
-67.75,-49.25,712.4391780480001,8.701547212800001,0.0836687232,1441.8463731609602,978.0539067187201
-65.0,-40.75,281.270313792,3.4353626112,0.0330323328,569.2395846758401,386.13475749888005
-63.0,-39.25,1378.561388256,16.8373910016,0.1618979904,2789.95568896512,1892.5227485798398
-64.5,-38.5,304.849861056,3.7233570816,0.0358015104,616.9602684211201,418.50533597184
-58.25,-36.25,1027.39455936,12.548330495999998,0.120657024,2079.2583631872,1410.4323477504
-57.5,-36.0,1669.0950956160002,20.385894297600004,0.1960182144,3377.9426851123208,2291.3745190502405
-59.0,-35.75,203.794658496,2.4890950656,0.0239336064,412.44305236992005,279.77428537344
-60.25,-35.25,1192.4513902079998,14.564291788799999,0.1400412672,2413.3031494041597,1637.02639706112
-59.75,-35.25,396.641670048,4.8444784128,0.0465815232,802.73007300096,544.51937359872
-59.0,-34.25,2331.006672384,28.470310502399997,0.2737529856,4717.53045024768,3200.0629004697603
-59.25,-34.0,7979.992495488,97.46555719679999,0.9371688192,16150.042827509758,10955.12862892032
-59.0,-34.0,77316.493351968,944.3235829248,9.0800344512,156474.41769063935,106141.97072074751
-59.5,-33.75,60683.64913728,741.174340608,7.126676352,122812.5882387456,83307.9958843392
-59.25,-33.75,286520.97369168,3499.492808448,33.648969312,579865.9583598336,393342.9916695552
-59.0,-33.75,14949.432965376,182.58849423360002,1.7556585984,30254.91349450752,20522.946751856638
-58.75,-33.75,18899.849258784,230.8378535424,2.2195947456000003,38249.83233197568,25946.17473816576
-58.5,-33.75,3595.038831072,43.9088712192,0.4222006848,7275.69996102144,4935.35712503808
-60.25,-33.5,2539.01196432,31.010833152,0.298181088,5138.4950532864,3485.6176462848
-59.75,-33.5,928.865736864,11.3449250304,0.1090858176,1879.8540775372803,1275.16957341696
-59.5,-33.5,40689.877310784,496.9756007424,4.7786115456000005,82348.85704301568,55860.05752344576
-59.25,-33.5,487.591352352,5.955314227200001,0.0572626368,986.7955674470402,669.37731913728
-59.0,-33.5,2075.000159232,25.3435133952,0.2436876288,4199.4201695846405,2848.61090562048
-58.75,-33.5,15592.817755008,190.4466290688,1.8312175872,31557.00643670016,21406.20110733312
-58.5,-33.5,26125.296241824,319.0875876864,3.0681498816,52872.81327963648,35865.44485595136
-60.25,-33.25,8822.961310176,107.7613595136,1.0361669184,17856.05727140352,12112.37680932864
-60.0,-33.25,386.536149792,4.7210522112,0.0453947328,782.27835139584,530.64626853888
-59.75,-33.25,260.217146592,3.1782246912,0.0305598528,526.6318313318401,357.23245529088
-59.5,-33.25,13200.335834399999,161.22547583999997,1.55024496,26715.061346687995,18121.743484415998
-59.0,-33.25,83954.978033472,1025.4043118592,9.8596568448,169909.49447506946,115255.44465297408
