start_date,end_date,iso3_country,province_name,source_location,source_name,CO2_emissions_tonnes,CH4_emissions_tonnes,N2O_emissions_tonnes,total_CO2e_100yrGWP,total_CO2e_20yrGWP
2015-01-01,2015-12-31,ITA,Abruzzo,,,19589.61044816352,43.432477087392016,2.5051584391488,21485.28481278938,23800.235841547372
2015-01-01,2015-12-31,ESP,Basque,,,6508.983934637279,24.820810758288005,0.9362780982431999,7457.088475613908,8780.03768903066
2015-01-01,2015-12-31,MEX,Jalisco,,,1872835.429863052,6058.910708299369,258.56806503935525,2112468.120380348,2435408.0611327044
2015-01-01,2015-12-31,BRA,Pernambuco,,,392459.7634546428,1115.54935485588,52.642734642792,437955.0570126041,497413.8376264224
2015-01-01,2015-12-31,MEX,Queretaro,,,15274.8726535728,51.490328222879995,2.129622505632,17292.839755028686,20037.27424930819
2015-01-01,2015-12-31,ZAF,Western Cape,,,187408.16960506415,499.605966110736,24.807129838070402,208119.52250534692,234748.5204990491
2016-01-01,2016-12-31,ZAF,Western Cape,,,220781.10258301388,725.5533812692319,30.594483903484804,249376.33602607684,288048.3312477269
2016-01-01,2016-12-31,BRA,Pernambuco,,,584384.1674958172,1627.4735489522882,78.05046157960321,651098.4555228176,737842.7956819746
2016-01-01,2016-12-31,MEX,Queretaro,,,165929.75433221326,636.7076714198879,23.907646127203197,190220.6857575546,224157.20464423465
2016-01-01,2016-12-31,ESP,Basque,,,4897.248517405439,15.773595191423999,0.6754280795136,5521.7236889533815,6362.456312656282
2016-01-01,2016-12-31,ITA,Abruzzo,,,2400.3687635675997,5.142634365959999,0.30517127978399994,2627.160021758916,2901.2624334645843
2016-01-01,2016-12-31,MEX,Jalisco,,,7560345.652626246,26457.45857409161,1063.7848795179311,8588922.018951798,9999104.560950879
2017-01-01,2017-12-31,ITA,Abruzzo,,,79464.58893343728,243.430191198288,10.834568299843202,89214.12841372672,102188.95760459546
2017-01-01,2017-12-31,ESP,Basque,,,11867.73340409424,44.124945953904,1.6957972191456,13561.77203703491,15913.631656377995
2017-01-01,2017-12-31,MEX,Jalisco,,,11104609.722269315,38761.4864414206,1561.492198360051,12612342.564137245,14678329.791464962
2017-01-01,2017-12-31,BRA,Pernambuco,,,347833.70937372965,1065.6286318641598,47.426070906144005,390512.065560117,447310.0716384768
2017-01-01,2017-12-31,MEX,Queretaro,,,146251.80450298294,392.884303770216,19.3892403545424,162506.53919496207,183447.2725859146
2017-01-01,2017-12-31,ZAF,Western Cape,,,665422.562112292,2433.7564667833676,94.67992542575521,759171.9871767792,888891.2068563327
2018-01-01,2018-12-31,MEX,Queretaro,,,42381.71219495088,145.006209736848,5.930267396227201,48046.34844577896,55775.17942475296
2018-01-01,2018-12-31,ZAF,Western Cape,,,1484795.3078960907,5562.864052900343,212.58756129080157,1698035.619204399,1994536.2732239873
2018-01-01,2018-12-31,BRA,Pernambuco,,,404582.5367169955,1126.171908578592,54.030468410668796,450753.0508424508,510778.01356968976
2018-01-01,2018-12-31,MEX,Jalisco,,,5059833.092312196,17828.971060289612,713.1687859749023,5751956.463465424,6702240.62097886
2018-01-01,2018-12-31,ESP,Basque,,,5381.48040763104,19.782470273184,0.7667053776576,6142.721896353398,7197.127561914104
